Year,Earthquake_Count
-2150,1
-2000,1
-1250,1
-1050,1
-479,1
-426,1
-400,1
-373,1
-330,1
-250,1
-227,1
-193,1
-186,1
-70,1
-63,1
-60,1
-58,1
-31,1
10,1
27,1
46,1
62,1
89,1
100,1
103,1
115,1
120,1
123,1
128,1
138,1
142,1
143,1
180,1
304,1
346,1
362,1
365,1
368,1
382,1
407,1
427,1
447,1
478,1
500,1
501,1
510,1
512,1
525,1
528,1
543,1
551,2
554,1
557,1
558,1
664,1
684,1
701,1
704,1
734,1
740,1
743,1
744,1
745,2
746,1
763,1
766,1
780,1
788,1
814,1
818,2
850,1
856,1
863,1
869,1
871,1
876,1
878,1
881,1
887,2
891,1
922,1
942,1
953,1
989,1
1008,1
1022,1
1026,1
1038,1
1039,1
1042,1
1057,1
1067,1
1088,1
1096,1
1099,1
1101,1
1102,1
1119,1
1125,1
1151,1
1160,1
1175,1
1182,1
1202,1
1208,2
1209,2
1219,1
1231,1
1241,1
1257,2
1273,1
1275,1
1279,1
1283,1
1290,1
1291,1
1293,1
1300,1
1303,2
1304,1
1305,1
1306,1
1331,1
1332,1
1336,1
1337,1
1341,1
1343,1
1350,1
1352,1
1360,1
1361,1
1385,1
1389,2
1390,1
1402,1
1403,1
1405,1
1406,1
1408,2
1433,1
1440,2
1445,1
1448,1
1455,1
1471,1
1475,1
1481,1
1482,2
1484,1
1485,1
1487,1
1493,1
1494,1
1495,2
1498,3
1501,1
1502,1
1505,1
1509,1
1510,2
1511,1
1512,1
1513,1
1514,1
1515,1
1518,1
1520,1
1521,1
1530,1
1531,1
1536,1
1542,1
1546,1
1552,1
1553,1
1555,2
1556,2
1561,1
1562,1
1566,1
1568,2
1570,2
1573,1
1575,2
1577,1
1580,1
1581,1
1582,2
1584,1
1585,1
1586,2
1587,1
1589,1
1590,2
1591,1
1596,1
1597,1
1600,3
1601,1
1602,1
1604,2
1605,3
1606,1
1608,1
1609,3
1610,1
1611,1
1613,1
1614,3
1615,2
1616,2
1618,1
1619,2
1622,1
1626,1
1627,2
1628,1
1629,1
1630,2
1631,1
1633,2
1636,1
1638,1
1640,1
1641,1
1642,1
1643,1
1644,2
1645,2
1646,1
1647,2
1649,1
1650,2
1652,1
1653,1
1654,1
1655,1
1657,1
1660,1
1662,1
1663,1
1664,2
1666,1
1667,4
1668,3
1670,3
1671,1
1673,1
1674,2
1677,2
1678,2
1679,1
1680,2
1681,1
1683,1
1687,3
1688,3
1689,1
1690,1
1692,1
1693,1
1695,2
1698,2
1699,1
1700,3
1703,2
1707,2
1708,1
1709,1
1711,2
1713,2
1714,1
1715,3
1716,3
1717,2
1718,1
1719,1
1720,1
1721,1
1723,1
1725,3
1726,1
1729,1
1730,3
1731,2
1732,1
1733,1
1737,3
1738,2
1739,2
1741,1
1742,3
1743,1
1746,1
1748,1
1751,3
1754,2
1755,3
1757,2
1759,2
1761,2
1762,1
1763,5
1764,1
1765,2
1766,4
1767,1
1768,2
1769,2
1770,3
1771,1
1772,1
1773,1
1776,1
1779,1
1780,2
1782,2
1783,3
1784,1
1786,1
1787,2
1788,2
1789,1
1790,1
1791,3
1792,4
1793,2
1796,1
1797,2
1799,2
1800,1
1801,1
1802,2
1803,1
1804,3
1805,1
1806,3
1808,1
1810,2
1811,4
1812,7
1815,3
1816,3
1817,2
1818,4
1819,4
1820,5
1821,1
1822,2
1823,1
1824,1
1825,2
1826,2
1827,1
1828,2
1829,3
1830,3
1831,3
1833,7
1834,5
1835,2
1836,2
1837,6
1838,2
1839,3
1840,3
1841,1
1842,2
1843,6
1844,4
1845,4
1846,5
1847,3
1848,3
1849,3
1850,1
1851,4
1852,7
1853,1
1854,5
1855,6
1856,3
1857,6
1858,4
1859,8
1860,1
1861,7
1862,6
1863,5
1864,3
1865,2
1866,6
1867,5
1868,10
1869,5
1870,5
1871,3
1872,6
1873,2
1874,3
1875,10
1876,1
1877,1
1878,4
1879,3
1880,6
1881,5
1882,4
1883,2
1884,4
1885,6
1886,2
1887,5
1888,4
1889,5
1890,1
1891,3
1892,5
1893,10
1894,9
1895,6
1896,6
1897,16
1898,6
1899,12
1900,12
1901,14
1902,17
1903,12
1904,15
1905,22
1906,22
1907,15
1908,12
1909,21
1910,18
1911,14
1912,13
1913,17
1914,12
1915,15
1916,18
1917,18
1918,14
1919,9
1920,9
1921,9
1922,13
1923,19
1924,11
1925,13
1926,9
1927,14
1928,19
1929,17
1930,14
1931,18
1932,17
1933,12
1934,12
1935,16
1936,11
1937,11
1938,17
1939,13
1940,7
1941,12
1942,9
1943,17
1944,10
1945,7
1946,14
1947,13
1948,17
1949,17
1950,20
1951,12
1952,12
1953,15
1954,17
1955,14
1956,14
1957,20
1958,13
1959,18
1960,13
1961,20
1962,19
1963,15
1964,12
1965,19
1966,16
1967,17
1968,26
1969,18
1970,19
1971,21
1972,19
1973,16
1974,14
1975,21
1976,24
1977,13
1978,22
1979,23
1980,15
1981,12
1982,12
1983,28
1984,14
1985,19
1986,10
1987,22
1988,14
1989,14
1990,29
1991,19
1992,17
1993,14
1994,27
1995,27
1996,15
1997,20
1998,16
1999,17
2000,22
2001,15
2002,27
2003,29
2004,27
2005,19
2006,20
2007,31
2008,27
2009,27
2010,31
2011,30
2012,29
2013,26
2014,30
2015,28
2016,33
2017,33
2018,29
2019,28
2020,16
2021,23
2022,21
2023,27
2024,13
2025,18
